行ID,種別,入力テキスト,メモ
R-001,address,東京都千代田区霞が関一丁目２番３号,全角・漢数字混在
R-002,address,大阪府大阪市北区梅田３丁目１番地の２,
R-003,address,北海道札幌市中央区南○条西○○丁目○番○号,
R-004,address,○○郡○○町大字田中字山1234番地2,大字字あり
R-005,address,さくら町2-3,丁目号なし→断定不可
R-006,requirement,家賃8万以内、2LDK、駅徒歩10分以内、バス・トイレ別、ペット相談可、独立洗面台、新宿区か中野区で探しています,顧客希望
R-007,requirement,予算12万円まで 1LDK以上 オートロック 宅配ボックス 2階以上希望 中央線沿線,
R-008,property,ペット相談可（小型犬2匹まで）、楽器不可、南向き、専有面積25坪、平成2年築、オートロック,分譲賃貸
R-009,advert,民泊相談可・SOHO可・約12帖のワンルーム・築15年・東南向き・法人契約可,広告原稿
R-010,property,ペット不可、民泊禁止、北西向き、令和3年築、内法面積62.5㎡,
R-011,term,このマイソクの帯を替えて、フガフガ特約とゲンナマ決済の段取りをお願いします,新語混在
R-012,term,アンコ業者を挟んだ三為スキームの確認,業者スラング
